Name,Price,Image,Link
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹30,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/f/v/-original-imaguyhzwj4tqwqu.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm9fcf3daf70e1b?pid=COMGSVFEHCEWXFBQ&lid=LSTCOMGSVFEHCEWXFBQHLPEDL&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAxy7uMEoBbD1KkwwOoKlEiTRVZ6xajfS37F-4Fciq7o3w%3D%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Victus AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹54,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/4/o/15-fb1016ax-gaming-laptop-hp-original-imagt2szk5gxr7qg.jpeg?q=70,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-7535hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fb1016ax-gaming-laptop/p/itme4088a021f8b5?pid=COMGS2XZWKYVR47K&lid=LSTCOMGS2XZWKYVR47KG0QXKS&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAztxpbOuXp4r7kU-i65TwTAoUZoWyjlecOvSIhRkQTzyfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Lenovo Yoga Slim 6 Intel Evo Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 ...,"₹64,619",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/p/4/-original-imagtzfgwutmyqwy.jpeg?q=70,https://www.flipkart.com/lenovo-yoga-slim-6-intel-evo-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-14iap8-thin-light-laptop/p/itmae04103d75ff9?pid=COMGTGMTF6BCTA88&lid=LSTCOMGTGMTF6BCTA88B7GBAM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGTGMTF6BCTA88.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,"₹65,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/h/z/-original-imagqdrxngpdcjzh.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itm93afec5862d72?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGCG2GXGJGEYUW.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,"₹46,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/o/s/-original-imaghzah9mjvukjz.jpeg?q=70,https://www.flipkart.com/dell-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm2a208997818da?pid=COMGJ75HAXTTTV58&lid=LSTCOMGJ75HAXTTTV58DKOUI3&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGJ75HAXTTTV58.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin a...,"₹68,190",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/q/i/-original-imagu3kmp33qgvrs.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-16irl8-thin-light-laptop/p/itm47961696e0d36?pid=COMGRU9ZJUZQFMKY&lid=LSTCOMGRU9ZJUZQFMKYRNL2AO&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGRU9ZJUZQFMKY.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
DELL Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Lapt...,"₹64,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,https://www.flipkart.com/dell-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-inspiron-3530-thin-light-laptop/p/itmde8407c6c5b9d?pid=COMGTQXEPE3ZKHN8&lid=LSTCOMGTQXEPE3ZKHN8LQLIR9&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGTQXEPE3ZKHN8.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
WINGS Nuvobook V1 Aluminium Alloy Metal Body Intel Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Wi...,"₹34,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/k/-original-imagtq3zkzyfudmn.jpeg?q=70,https://www.flipkart.com/wings-nuvobook-v1-aluminium-alloy-metal-body-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-wl-nuvobook-v1-grn-thin-light-laptop/p/itm08b220f630a42?pid=COMGQHYFDAV3PF5G&lid=LSTCOMGQHYFDAV3PF5GOQDUUE&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAwKQReEHZUlhT8qyly4YxHjuS1pKfhvTIS89uMy9Z9nA0hz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Victus AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹67,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/i/j/-original-imagthcbgurdzwuc.jpeg?q=70,https://www.flipkart.com/hp-victus-amd-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0137ax-gaming-laptop/p/itmc0108d5fa7687?pid=COMGZUGT3NMUDWFS&lid=LSTCOMGZUGT3NMUDWFSSGDZZI&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGZUGT3NMUDWFS.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin a...,"₹44,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/d/n/-original-imaguyhzhbhqe8qj.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm36fec4d6ab322?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTCCRJQM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGKC6Y2KA8HMFT.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹19,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/r/w/gemibook-x-pro-laptop-chuwi-original-imagwfm84fgdm8bv.jpeg?q=70,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAyM7SKy0ZM4ggqjr6kPsgsciwoG6lCx1a3qQeuia2OWAQ%3D%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
WINGS Nuvobook S1 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Wi...,"₹29,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/2/o/-original-imagtq47azeytzzg.jpeg?q=70,https://www.flipkart.com/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-grn-thin-light-laptop/p/itma074a71804e83?pid=COMGQHYFTMAKHBAN&lid=LSTCOMGQHYFTMAKHBANLB0BWS&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAwdXHqLaihrD7aa1F9tYntQX3TUoXx9PS4cVURUw3hyQWVkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
MSI GF63 Intel Core i7 11th Gen 11800H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹62,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/i/f/-original-imagt8bb7ruggfgm.jpeg?q=70,https://www.flipkart.com/msi-gf63-intel-core-i7-11th-gen-11800h-16-gb-1-tb-hdd-256-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-thin-11uc-1294in-gaming-laptop/p/itm1692c348d09ef?pid=COMGZ4PNC67EXXDH&lid=LSTCOMGZ4PNC67EXXDHCUPWJM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGZ4PNC67EXXDH.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home/4 G...","₹68,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/k/k/-original-imagqkqnb2fpbhyb.jpeg?q=70,https://www.flipkart.com/asus-vivobook-pro-15-creator-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-50-tgp-m6500qc-hn741ws-gaming-laptop/p/itm1d220363938bf?pid=COMGNRNU9SEPEMQV&lid=LSTCOMGNRNU9SEPEMQV97WHJN&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGNRNU9SEPEMQV.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
MSI Katana 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹67,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/6/c/-original-imags9wbfxv6hydz.jpeg?q=70,https://www.flipkart.com/msi-katana-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-b12udxk-1005in-gaming-laptop/p/itm909b344715d8d?pid=COMGP8QVDXUHJXDE&lid=LSTCOMGP8QVDXUHJXDEZKVJVN&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGP8QVDXUHJXDE.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,"₹65,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/k/z/-original-imagqdrx8aphxhv2.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km501ws-thin-light-laptop/p/itmffefbedb1694e?pid=COMGCG2GXUAAMYJF&lid=LSTCOMGCG2GXUAAMYJFOJKKYY&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGCG2GXUAAMYJF.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon ...,"₹47,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/j/7/bravo-15-b5ed-notebook-msi-original-imagz3rya2qqbhjt.jpeg?q=70,https://www.flipkart.com/msi-bravo-15-amd-ryzen-5-hexa-core-7535hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx6550m-144-hz-b7ed-012in-gaming-laptop/p/itmc0df4058dba89?pid=COMGSZ65H4YCYY7M&lid=LSTCOMGSZ65H4YCYY7MGILCHL&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAwuhi_32TCUm2XTd5lJdyvo-dR5dKlAP1FyGjQhZw51hPcUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
WINGS Nuvobook S1 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Wi...,"₹29,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/g/4/-original-imagtq43qacwgptw.jpeg?q=70,https://www.flipkart.com/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-slv-thin-light-laptop/p/itm031dee32b0d0e?pid=COMGQHYFQFWJV7AD&lid=LSTCOMGQHYFQFWJV7AD9POEPS&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAzBqb8zg0b-AmrKsAs0b4vmZeHzB0CrpmIUc-_XkbmqTeI7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light L...,"₹58,800",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/l/e/-original-imagp8xz5bfrpzvz.jpeg?q=70,https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5112tu-thin-light-laptop/p/itmafa17a199da31?pid=COMGG63HWNMXZKDF&lid=LSTCOMGG63HWNMXZKDFFAAJRY&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGG63HWNMXZKDF.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Pavilion (2023) Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin ...,"₹68,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/e/e/-original-imagrgm4ksqy2cg7.jpeg?q=70,https://www.flipkart.com/hp-pavilion-2023-intel-core-i5-13th-gen-1340p-16-gb-512-gb-ssd-windows-11-home-15-eg3079tu-thin-light-laptop/p/itm4ae6958287d36?pid=COMGPYHAMPKQYPQB&lid=LSTCOMGPYHAMPKQYPQBGXMI6J&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGPYHAMPKQYPQB.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Acer Nitro 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"₹67,990",https://rukminim2.flixcart.com/image/312/312/l1mh7rk0/computer/u/r/m/an515-58-gaming-laptop-acer-original-imagd5zzqqpngwmz.jpeg?q=70,https://www.flipkart.com/acer-nitro-5-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-an515-58-gaming-laptop/p/itm339dc8fa319ab?pid=COMGR9HY236QSUPV&lid=LSTCOMGR9HY236QSUPVNSLUHF&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGR9HY236QSUPV.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2153TU Thin and Light...,"₹69,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/l/p/-original-imagwzwcncgpnqub.jpeg?q=70,https://www.flipkart.com/hp-pavilion-intel-core-i5-12th-gen-1235u-16-gb-1-tb-ssd-windows-11-home-14-dv2153tu-thin-light-laptop/p/itm9236b466db2d7?pid=COMGT34TR3XEEZYB&lid=LSTCOMGT34TR3XEEZYBQKADZ6&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGT34TR3XEEZYB.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-hr0001TU Thin and Light Laptop,"₹64,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/t/g/-original-imagwzwbamzhz8f2.jpeg?q=70,https://www.flipkart.com/hp-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-15-hr0001tu-thin-light-laptop/p/itmf3f9509871a41?pid=COMGZVGHM4YNVSAH&lid=LSTCOMGZVGHM4YNVSAH44ZL6P&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGZVGHM4YNVSAH.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
